player_name	player_name_og	player_rating	top_streak	current_streak	number_of_games	number_of_max_scores	signup_datetime
bubbus	bubbus	1012.674773	1	1	39	6	
linaleee	linaleee	975.4106499	1	1	41	6	
shosh	shosh	1167.299758	1	1	25	4	
willamin	willamin	975.4106499	1	1	41	6	
BlueNovember	BlueNovember	1423.478824	2	2	2	2	
Nitrate	Nitrate	1423.478824	2	2	2	2	
piper	piper	1350.799857	5	1	56	29	
kimbifille	kimbifille	1325.530466	5	1	60	30	
avanderwalde	avanderwalde	1268.716229	1	1	11	2	
pianoblook	pianoblook	1292.444112	5	1	65	32	
rkass	rkass	1247.427013	1	0	10	1	
